ticker,mkt,previous_close,open,high,low,close,direction,change,,,volume,,,,,
786,Reg,5.2,5.42,5.42,5.39,5.4,+,0.2,8,63,340.28,,,,,
AABS,Reg,500.86,508,508.95,502.11,502.11,+,1.25,9,85,42890.13,,,,,
AATM,Reg,19.88,21.66,21.67,21.59,21.67,+,1.79,23,4950,107194.5,,,,,
ABL,Reg,111,113.5,113.5,110.01,110.3,-,-0.7,8,93,10386.57,,,,,ODL
ABOT,Reg,708.78,710,710,650.1,701,-,-7.78,16,395,274683.95,,,,,ODD lot
ACIETF,Reg,10.26,10.9,11.07,10.9,11.06,+,0.8,4,4000,44015,,,,,
ACPL,Reg,98.46,98.99,99.59,98.6,98.95,+,0.49,23,69241,6838755.9,,,,,
ADAMS,Reg,42,43.38,43.38,42.1,43.23,+,1.23,5,2017,84935.21,,,,,
ADMM,Reg,47.51,48.3,48.3,46.05,46.05,-,-1.46,50,22002,1026568.74,,,,,
AGHA,Reg,10.12,10.08,10.15,9.92,10.08,-,-0.04,424,824892,8267495.66,,,,,
AGHA-JUL,FUT,10.55,10.25,10.26,10.15,10.25,-,-0.3,8,5500,56240,,,,,
AGHA-JUN,FUT,10.16,10.12,10.35,10,10.35,+,0.19,180,548000,5485775,,,,,
AGIC,Reg,18.85,19,19,19,19,+,0.15,1,2000,38000,,,,,
AGIL,Reg,89.81,92.99,93,92.98,92.98,+,3.17,14,8960,833042,,,,,
AGL,Reg,20.96,21.19,21.99,21,21.25,+,0.29,1305,2562267,55352640.63,,,,,
AGL-JUL,FUT,21.19,21.3,22.32,21.3,21.55,+,0.36,386,1345500,29368820,,,,,
AGL-JUN,FUT,21.01,21.1,21.98,21.1,21.25,+,0.24,544,1738500,37433190,,,,,
AGP,Reg,88.2,86.51,88.9,86.51,88.9,+,0.7,14,2596,226249.91,,,,,
AGSML,Reg,5.52,5.5,5.5,5.5,5.5,-,-0.02,1,100,550,,,,,
AGTL,Reg,350,350.01,350.01,350,350,#ERROR!,0,4,210,73500.01,,,,,
AHCL,Reg,43.08,46.8,46.8,43.31,45,+,1.92,60,876357,39015680.64,,,,,
AHL,Reg,55.87,55.61,56.73,55.61,56.2,+,0.33,15,6208,347736.84,,,,,
AICL,Reg,35.25,35,35,35,35,-,-0.25,5,1267,44401.94,,,,,
AIRLINK,Reg,88.69,89,89.98,88.55,88.65,-,-0.04,1490,1688378,150691291.4,,,,,
AIRLINK-JUL,FUT,89.98,90.1,91.2,89.75,90.19,+,0.21,509,1354000,122576060,,,,,
AIRLINK-JUN,FUT,88.87,89,90,88.68,88.71,-,-0.16,316,777000,69351335,,,,,
AKBL,Reg,22.62,22.51,22.87,22.11,22.12,-,-0.5,156,172259,3852057.64,,,,,
AKBL-JUN,FUT,22.63,22.75,22.75,22.13,22.15,-,-0.48,61,165000,3688370,,,,,
AKDHL,Reg,119.98,118.06,118.06,118.06,118.06,-,-1.92,1,50,5903,,,,,
AKDSL,Reg,18.18,18.19,18.75,17.5,17.52,-,-0.66,16,59199,1093759.73,,,,,
ALAC,Reg,4.89,5.1,5.1,5.1,5.1,+,0.21,1,50,255,,,,,
ALIFE,Reg,35.66,34.82,36.44,34.82,36.44,+,0.78,2,3000,106890,,,,,
ALTN,Reg,23.53,23.2,23.63,23.1,23.4,-,-0.13,8,7692,178475.23,,,,,
AMTEX,Reg,3.05,3.1,3.25,3.07,3.17,+,0.12,235,540025,1687689,,,,,
ANL,Reg,7.45,7.6,7.64,7.36,7.38,-,-0.07,53,56087,417513.2,,,,,
APL,Reg,387.45,390.95,392,385.15,387,-,-0.45,89,8795,3418220.75,,,,,
ARCTM,Reg,13.49,13.5,13.65,13.5,13.65,+,0.16,7,10922,147567,,,,,
ARPL,Reg,359.65,355,358,327.28,348,-,-11.65,54,117250,41708010.51,,,,,
ARUJ,Reg,18.08,17.99,17.99,17.99,17.99,-,-0.09,1,5,89.95,,,,,
ASC,Reg,8.27,8.3,8.33,8.1,8.16,-,-0.11,103,136296,1122025.22,,,,,
